strategy,sharpe_ratio,annualised_return,annualised_volatility,max_drawdown,annualised_turnover,cost_drag,average_gross_exposure
"hedged, calendar time",0.19711709500151153,0.007832681412783815,0.04462778826614961,-0.10436619843940598,63.709285496809144,0.03185464274840457,0.9817884556893031
"hedged, trading time",0.19497178528493267,0.008137015787277102,0.04729229061365179,-0.12843279282700326,65.93233773408396,0.03296616886704198,0.9735199501971762
"unhedged, calendar time",0.46351175081663326,0.02429728229920225,0.05506395714717843,-0.10568326925533766,44.76598465473146,0.022382992327365733,0.8309676044330776
"unhedged, trading time",0.4378419501123541,0.024179569597628126,0.05846375528791189,-0.14190119979337157,45.62334936598164,0.02281167468299082,0.8172933974639266
