date,universe_size,n_factors,explained_variance,n_tradeable,median_kappa,median_half_life_days,mean_r_squared,n_long,n_short,gross_exposure,net_exposure,factor_exposure_before_hedge,factor_exposure_after_hedge
2013-12-24,46,4,0.5544191996676239,46,34.662115901649905,5.0395084074575305,0.5642817038680767,2,1,0.29276583795885935,0.01191878292316529,0.13650651536388636,6.331740687315346e-17
2013-12-27,46,4,0.5557723209269877,46,32.991239558424255,5.29459265846769,0.5718162741478487,4,2,0.46201159230584377,0.009095422680359337,0.14137891686058307,8.239936510889834e-17
2013-12-30,46,4,0.5562629260912069,46,34.812348757815684,5.019910883613514,0.573749240736723,6,2,0.5761002422608903,0.027871538229000035,0.15378410258127384,1.6566609195578508e-16
2013-12-31,46,4,0.5563945530106604,45,31.611897608928594,5.525549008857059,0.574696659923563,7,4,0.6538464969740845,0.017053364082146825,0.11894707312572583,8.326672684688674e-17
2014-01-02,46,4,0.5561706348154776,46,30.20902591467915,5.782647592279039,0.5808048880271566,7,4,0.754500838500936,-0.02746651734011213,0.19407476667874293,1.1102230246251565e-16
2014-01-03,46,4,0.5570664330292056,46,32.241781011812975,5.418056038942872,0.5779070057947868,8,6,0.9118855123333222,-0.01657937028094015,0.30821863035620345,2.5847379792054426e-16
2014-01-06,46,4,0.5571613557422523,46,31.296371292282366,5.5816028327092475,0.5753017065395574,9,8,1.0468520200236466,-0.020962852408046725,0.30688422618435274,4.419208055050916e-16
2014-01-07,46,4,0.5567072302065983,46,29.967523406091882,5.835880095665651,0.5558422027436366,8,7,0.9629724219470529,-0.0027306637540144493,0.2988207690106181,2.42861286636753e-16
2014-01-08,46,4,0.5560035072575172,46,32.52855780611276,5.370005013068061,0.5490828531697,7,9,0.9965502613573836,-0.001895915901233329,0.29035373828745387,1.6653345369377348e-16
2014-01-09,46,4,0.5561850075485464,46,32.64388917808361,5.354036774283662,0.5456848537594525,7,8,0.9484894371543545,-0.02097847551583823,0.3180865437624793,7.979727989493313e-17
2014-01-10,46,4,0.5557703453811592,46,33.10163606673075,5.279189089310531,0.5422421163920207,9,5,0.818183884403263,-0.001017986813672836,0.18454205979297544,9.020562075079397e-17
