strategy,gross_sharpe,sharpe_ratio,annualised_return,annualised_volatility,max_drawdown,annualised_turnover,cost_drag,average_gross_exposure,average_signals
s_open = 1.00,0.5255392334004254,-0.32656180123749207,-0.01725915474819495,0.04955380841956802,-0.2330415233754891,84.4625235272475,0.04223126176362375,1.1768225066440772,20.77929271410311
s_open = 1.25,0.9104723087316731,0.19711709500151153,0.007832681412783815,0.04462778826614961,-0.10436619843940598,63.709285496809144,0.03185464274840457,0.9817884556893031,16.61994034938219
s_open = 1.50,0.6644096613538473,0.07406273286254628,0.0021093872502204736,0.03838430732715542,-0.09442868723679454,45.32872254232726,0.02266436127116363,0.7658150434952334,12.181508308478909
s_open = 2.00,0.4408559192440944,0.052376572772991126,0.0009793645000923945,0.02434180574609741,-0.055489083553775465,18.902167275721403,0.009451083637860703,0.3757792725378348,4.92032381763954
