,paper (hedged),unhedged
2013-12-24,1.0,1.0
2013-12-27,1.0009959757075144,1.0017543050040256
2013-12-30,1.000975357568269,1.001317959394469
2013-12-31,1.0006200459163204,1.001204304862702
2014-01-02,0.9916033745073709,0.9914346134369992
2014-01-03,0.9920148072173393,0.9926261302623257
2014-01-06,0.9937210521074282,0.9929671490358123
2014-01-07,0.9992075722826177,0.9967333197332623
2014-01-08,0.995744974198851,0.9931500848049672
2014-01-09,0.9896509447574696,0.9864677654444922
2014-01-10,0.9903394017723046,0.9872202139752985
2014-01-13,0.9900790777419495,0.9870250738991847
2014-01-14,0.9889324960490935,0.9857931989219704
2014-01-15,0.9913201193458491,0.9893115112064403
2014-01-16,0.9930114601008736,0.9905572144761456
2014-01-17,0.9947702199232067,0.9918134113609142
2014-01-20,0.9973174506641602,0.9955260008840149
2014-01-21,0.992632375403496,0.9918977091271862
2014-01-22,0.994208492401839,0.994953563927516
2014-01-23,0.986079843005125,0.9853069295610347
2014-01-24,0.9870788557088522,0.9814376248557958
2014-01-27,0.9907206096004618,0.983864814830325
2014-01-28,0.9942273884287707,0.9876248105525011
2014-01-29,0.9985556512048943,0.9910597446037328
2014-01-30,1.002435478993736,0.9929695463869618
2014-01-31,1.002848799663041,0.993344112670853
2014-02-03,1.0002539676076598,0.9893858779324602
2014-02-04,1.001855729072151,0.9912001042689456
2014-02-05,1.0013869555966513,0.9903172520950585
2014-02-06,1.000749779882681,0.9937515066582914
2014-02-07,1.000522495721398,0.9945671200016528
2014-02-10,1.0012874699273715,0.9961663628834769
2014-02-11,0.9998189419544528,0.9983670498736312
2014-02-12,0.998032126596576,0.9972824313779216
2014-02-13,0.9975498707208529,0.9973401361690986
2014-02-14,0.9957971990087777,0.9975282290468133
2014-02-17,0.9955975188507548,0.997498786312345
2014-02-18,0.990092627238442,0.9920207123124074
2014-02-19,0.9884052748562855,0.9905140508191609
2014-02-20,0.9863944625849741,0.9887626657721296
2014-02-21,0.9856400711453102,0.9887307763897466
2014-02-24,0.9850341198750544,0.9882283615324873
2014-02-25,0.986425998512567,0.9898713514795906
2014-02-26,0.9850584686940899,0.9885733445055287
2014-02-27,0.9822667613182005,0.9859057574497275
2014-02-28,0.9858929267162142,0.989888884033129
2014-03-03,0.9874553739900954,0.9854925624022947
2014-03-04,0.9849797740854335,0.9890395261794699
2014-03-05,0.9801891458655421,0.987104369972791
2014-03-06,0.9777476886749548,0.9847039240954369
2014-03-07,0.9790451721097746,0.9835715323160192
2014-03-10,0.9766490782974037,0.9824111406398702
2014-03-11,0.9782968215283954,0.9837145815958541
2014-03-12,0.9782898592224152,0.9837949272697109
2014-03-13,0.9754669547033403,0.9809821664926197
2014-03-14,0.9756174253228538,0.9804785284147468
2014-03-17,0.974366914349519,0.9791153752378483
2014-03-18,0.9748636395887627,0.9797505736003738
2014-03-19,0.9734976344280009,0.9789246380243016
2014-03-20,0.9722951823305476,0.9778851700228748
2014-03-21,0.9709999924270276,0.9764276401193646
2014-03-24,0.9729844432460364,0.977565967951117
2014-03-25,0.9755215732151225,0.9812967480312823
2014-03-26,0.9765905690962431,0.984816778001483
2014-03-27,0.9758781256385757,0.984804545712136
2014-03-28,0.969452177292436,0.9829058500519195
2014-03-31,0.9745767803035135,0.9879065220333936
2014-04-01,0.9761164526760621,0.9920394258030272
2014-04-02,0.9762411676761016,0.9922164473619711
2014-04-03,0.9745203769102476,0.9920327143976948
2014-04-04,0.9772330338144994,0.9962751271496265
2014-04-07,0.9758770160859614,0.9919386986843338
2014-04-08,0.9752374898731279,0.9903973233002866
2014-04-09,0.9750378280836227,0.9907096105825861
2014-04-10,0.9760932170421247,0.989544326507481
2014-04-11,0.9730427505712195,0.9852874687035678
2014-04-14,0.9687730610247938,0.9837614592944208
2014-04-15,0.9652929894554173,0.9789103294564817
2014-04-16,0.9618074252776381,0.9788007930110978
2014-04-17,0.9629010677765011,0.9806361754456896
2014-04-22,0.9658590476653109,0.9846964134805873
2014-04-23,0.9657520506184788,0.9844358673341351
2014-04-24,0.9676839945536057,0.9868764889216295
2014-04-25,0.9690439164900774,0.9862151534756263
2014-04-28,0.9685662226402254,0.9859388870338306
2014-04-29,0.9661230641568643,0.9846291491756374
2014-04-30,0.9657741279223252,0.984703805941484
2014-05-01,0.9657813259283881,0.9846545707511869
2014-05-02,0.9638891496763201,0.9829361843488003
2014-05-05,0.967828171267961,0.9874966649968315
2014-05-06,0.9692426898593164,0.9885812015876637
2014-05-07,0.9705717480656095,0.9883983461245944
2014-05-08,0.9693091034020119,0.9877280332776814
2014-05-09,0.9697334203613697,0.988583939434151
2014-05-12,0.9696285741314664,0.9891890505326341
2014-05-13,0.9695734368331984,0.990106306840255
2014-05-14,0.9696225224956846,0.9905483778157342
2014-05-15,0.9682407970558338,0.9884285637748671
2014-05-16,0.9689819337018563,0.9880038185612348
2014-05-19,0.9741846523504701,0.993186569665139
2014-05-20,0.9742764278612221,0.9939657276233432
2014-05-21,0.9740280248222107,0.9942526752167818
2014-05-22,0.9746287638057057,0.9953168280796529
2014-05-23,0.9748092536522851,0.9957901147147747
2014-05-26,0.9772020874130288,0.9994656170168952
2014-05-27,0.9752734314339115,0.9974847410856866
2014-05-28,0.9749467608211035,0.9970986630836423
2014-05-29,0.974962086855295,0.9967709043060983
2014-05-30,0.9732329447906268,0.9949706144402896
2014-06-02,0.9734997089146852,0.995344088013051
2014-06-03,0.9749530581665992,0.9965067341238454
2014-06-04,0.9725099835957716,0.994058770259083
2014-06-05,0.9747157859573535,0.9977061656945811
2014-06-06,0.9735307770061321,0.9969591757619201
2014-06-09,0.9748939542582111,0.9989225470341355
2014-06-10,0.9746863023893138,0.9991024686195953
2014-06-11,0.9732874443426481,0.9966314880826208
2014-06-12,0.9730699699504647,0.9961816803019029
2014-06-13,0.9733373900551461,0.996267771102409
2014-06-16,0.9720356248625013,0.9939677488588234
2014-06-17,0.9719855100672896,0.9934999695482215
2014-06-18,0.9722560110553027,0.9937917986866035
2014-06-19,0.9701286879718515,0.9922898397013601
2014-06-20,0.9690045638293768,0.9907279385556446
2014-06-23,0.9693239603920151,0.9914814551615119
2014-06-24,0.970905227818731,0.9923244486069439
2014-06-25,0.9688394240783488,0.9916693259517619
2014-06-26,0.9682608172101297,0.9912330530950336
2014-06-27,0.9670590556739873,0.989928609496377
2014-06-30,0.9667879055630748,0.9893947488497805
2014-07-01,0.969443836629102,0.9930614552044725
2014-07-02,0.9701711844206468,0.994168758465894
2014-07-03,0.9715252786572156,0.9945499907190297
2014-07-04,0.9731363316103253,0.9962573803370095
2014-07-07,0.9723162411907976,0.9961426417119057
2014-07-08,0.9721536018956868,0.9955948804887164
2014-07-09,0.9718880673412306,0.9957437182706471
2014-07-10,0.9743335928369486,0.9957271652555909
2014-07-11,0.9756571092657416,0.9966100431756437
2014-07-14,0.9770747083438792,0.9986303905551046
2014-07-15,0.9744364231644187,0.9959722727833995
2014-07-16,0.9737878509423671,0.9949404707397529
2014-07-17,0.9698473354229947,0.9894750607374793
2014-07-18,0.971357689357174,0.9909491231538421
2014-07-21,0.9710564433075985,0.989174131195483
2014-07-22,0.9728313497110462,0.9955172828550127
2014-07-23,0.9733009571324929,0.9963375738739688
2014-07-24,0.9757580497836676,0.9997408102860538
2014-07-25,0.9757474859085158,0.993315578211838
2014-07-28,0.9767471120283734,0.9943998000146883
2014-07-29,0.9764921898426487,0.9966451055976692
2014-07-30,0.9798738362087348,0.9970955364113715
2014-07-31,0.9765743716503621,0.986437841150869
2014-08-01,0.9768023894108707,0.9812288741662083
2014-08-04,0.9777922601077281,0.981856747144898
2014-08-05,0.9768682069252378,0.9818767954920334
2014-08-06,0.975342414624235,0.979707340200602
2014-08-07,0.9788881434550886,0.982630252722044
2014-08-08,0.9805422631748141,0.9840584804878677
2014-08-11,0.9808398792512837,0.9871869303866525
2014-08-12,0.9796908820804177,0.9848488726331527
2014-08-13,0.9807789914393068,0.9879005346489916
2014-08-14,0.9798675429374224,0.9883304836295017
2014-08-15,0.9788547172193891,0.9857008754873975
2014-08-18,0.9795228998340605,0.9892263273662611
2014-08-19,0.9800737484691072,0.9907721378139962
2014-08-20,0.9840951061283386,0.9939360636426949
2014-08-21,0.9836125518646515,0.9952294652048922
2014-08-22,0.9826990590240356,0.9929754978109646
2014-08-25,0.9816834543332631,0.9930573347303638
2014-08-26,0.981028981817114,0.9924640276396237
2014-08-27,0.9818350600803056,0.9931813031464326
2014-08-28,0.9827153715055357,0.9949510941186557
2014-08-29,0.980427419945947,0.9927504829507665
2014-09-01,0.9791638020273277,0.9920109661090196
2014-09-02,0.9793743826813612,0.9927545471145159
2014-09-03,0.9782694970222093,0.9922616008581387
2014-09-04,0.9690791442587007,0.9843388582646524
2014-09-05,0.9685629371105362,0.9836798853563986
2014-09-08,0.9685708345287475,0.9835587822715877
2014-09-09,0.9671723554344981,0.9832135604261834
2014-09-10,0.9640048295274077,0.979950586439105
2014-09-11,0.9604596789501773,0.9766501095054908
2014-09-12,0.958963201961345,0.9754156307731643
2014-09-15,0.9556293183967661,0.9723335123869485
2014-09-16,0.9577993499926312,0.974730020128348
2014-09-17,0.9598787726595814,0.9772944369694991
2014-09-18,0.9557456266047734,0.9746967924694836
2014-09-19,0.9547104607754531,0.9745060119066172
2014-09-22,0.9567741012709615,0.9758511037519357
2014-09-23,0.9566256870109419,0.9734838055901596
2014-09-24,0.9573419681359069,0.9752941817547883
2014-09-25,0.9562990437389327,0.9728097238600912
2014-09-26,0.9582947796855067,0.9758824105020315
2014-09-29,0.9597264492355951,0.9754350102115421
2014-09-30,0.9557447758836511,0.9728125096831793
2014-10-01,0.9536527213884661,0.9699888210489337
2014-10-02,0.9585445073675415,0.9738589193530851
2014-10-03,0.9579372660366265,0.9720151928909883
2014-10-06,0.9598155350285957,0.9739650054724825
2014-10-07,0.9596367898466851,0.9760526093729468
2014-10-08,0.9571572911375247,0.9740312279053426
2014-10-09,0.9618123410858233,0.980272623829997
2014-10-10,0.9589738399507246,0.9755847165945871
2014-10-13,0.9581589953571216,0.9751082613932862
2014-10-14,0.9587015850331294,0.9760058834834772
2014-10-15,0.954367913705362,0.9689771565866965
2014-10-16,0.9521581715669786,0.9664669158334718
2014-10-17,0.955188129961165,0.9711629519948716
2014-10-20,0.9548559670368235,0.9720972239790397
2014-10-21,0.9554083094386147,0.9725536226706983
2014-10-22,0.9568675799470445,0.973351256781235
2014-10-23,0.9598276188650218,0.9802902368639146
2014-10-24,0.9608020689352337,0.9793336242693064
2014-10-27,0.9597098062160879,0.9777106269127531
2014-10-28,0.9578098917263342,0.9769525775383807
2014-10-29,0.9555889438854548,0.9742343965172567
2014-10-30,0.9560000640770945,0.9745746676223892
2014-10-31,0.9571369445598454,0.9833929668880023
2014-11-03,0.9584739463368093,0.9816179878520207
2014-11-04,0.9568381788271458,0.9770575970569827
2014-11-05,0.9545356047274277,0.978755679045698
2014-11-06,0.9554552368078714,0.9803369559518741
2014-11-07,0.9522354116691253,0.9754706411004971
2014-11-10,0.9541387341115315,0.9789829643273161
2014-11-11,0.9541293856666075,0.9800443631214638
2014-11-12,0.9543568926174535,0.9748231423895325
2014-11-13,0.95230731780876,0.973558368495404
2014-11-14,0.9493452960054054,0.9706582373451488
2014-11-17,0.9485479818810273,0.9722627507748411
2014-11-18,0.9484250602642602,0.9766123099295411
2014-11-19,0.949549996535819,0.9786333905276927
2014-11-20,0.948911580042719,0.9773813828373986
2014-11-21,0.9507056052173336,0.9850236256188916
2014-11-24,0.9466600132680683,0.9825401675476271
2014-11-25,0.9466820781345043,0.9825995087403347
2014-11-26,0.9463092172374535,0.9822457754021918
2014-11-27,0.946095515413834,0.9825104123655601
2014-11-28,0.9416699310310629,0.978535202669209
2014-12-01,0.9410204925974763,0.9780911723481394
2014-12-02,0.9398516685809069,0.9769866847421175
2014-12-03,0.9410969593675415,0.9772684037241592
2014-12-04,0.9368473567683308,0.9752790054615703
2014-12-05,0.9314385544818068,0.9674898539091852
2014-12-08,0.9284477778720276,0.96468771955381
2014-12-09,0.9248801223015182,0.9593931183940506
2014-12-10,0.9253280041378334,0.9592904885176157
2014-12-11,0.9206372436726284,0.9550018039628174
2014-12-12,0.9252130218808511,0.9546397531057111
2014-12-15,0.9247968422183704,0.9530235566558447
2014-12-16,0.9228617640392466,0.9534100369973108
2014-12-17,0.9250676902183079,0.9573836788179916
2014-12-18,0.9259132234774701,0.9581836076263348
2014-12-19,0.9237056739799192,0.957109839658916
2014-12-22,0.9238875498861183,0.9570721472372654
2014-12-23,0.9242261534955076,0.9575734466717281
2014-12-24,0.9236029230912896,0.9569468917134748
2014-12-29,0.9238938334050252,0.957671315381638
2014-12-30,0.9231700696496087,0.9554612585944204
2014-12-31,0.9234485817796193,0.9567452067048376
2015-01-02,0.9224997926736226,0.9544538950282638
2015-01-05,0.9227063325705728,0.9533073071000704
2015-01-06,0.9296887841260165,0.9594859587094966
2015-01-07,0.9298409056561985,0.9607938882199457
2015-01-08,0.92996000226117,0.9659618101685581
2015-01-09,0.9312895728495576,0.9672379305691154
2015-01-12,0.9318436061787015,0.9684571845839237
2015-01-13,0.9331237448030693,0.9699231937007611
2015-01-14,0.9328178378756383,0.9715447327786698
2015-01-15,0.93404880002129,0.9696068438768367
2015-01-16,0.934545515162174,0.9683433375126064
2015-01-19,0.9374470727043015,0.9709768312351064
2015-01-20,0.9352678412814804,0.9707263800680634
2015-01-21,0.9371141540730538,0.9732362341556469
2015-01-22,0.9407497666665091,0.9799091399959439
2015-01-23,0.9393242653106123,0.9803825951697367
2015-01-26,0.9437578363794717,0.9857087447072035
2015-01-27,0.9415636180133392,0.9854612219692318
2015-01-28,0.9358524560422731,0.9785038713531209
2015-01-29,0.9368919675012597,0.9796563171556932
2015-01-30,0.9353204543758744,0.9787105067586835
2015-02-02,0.9387677291512567,0.9810224904017417
2015-02-03,0.9411404813428175,0.9848924349536651
2015-02-04,0.9437129593822129,0.9855302702462515
2015-02-05,0.9438641881837813,0.9845046867300208
2015-02-06,0.9438403622487015,0.9853153157317813
2015-02-09,0.9397414345064167,0.9804992778438275
2015-02-10,0.9431557658239059,0.984256526014665
2015-02-11,0.9451609320605954,0.9858504720027521
2015-02-12,0.9481776339856408,0.9901293710205528
2015-02-13,0.9468945034464232,0.9898338085984169
2015-02-16,0.9459906621251888,0.9886345361390165
2015-02-17,0.9466185889652772,0.9897448932509639
2015-02-18,0.945979808707503,0.9900969597724767
2015-02-19,0.947610770882179,0.9929293199513611
2015-02-20,0.9450366527242445,0.9900870090988654
2015-02-23,0.9452515176160735,0.991833820862489
2015-02-24,0.9490188970324437,0.9966662007538165
2015-02-25,0.9519765766830925,0.9992784780126946
2015-02-26,0.9525532337301985,1.0018093462393536
2015-02-27,0.9526803122933453,1.0038428993195658
2015-03-02,0.9538227322979029,1.0051263014154286
2015-03-03,0.9559907952635965,1.0051400702637168
2015-03-04,0.9562861583771942,1.0059602557585412
2015-03-05,0.9515014127555259,1.002374439395294
2015-03-06,0.9528279905891065,1.0033893095935826
2015-03-09,0.9535835382421188,1.0043542790775117
2015-03-10,0.9561913018917639,1.0062659155299245
2015-03-11,0.955949795316275,1.0109487882432628
2015-03-12,0.9548203176435384,1.0101448414187066
2015-03-13,0.9532175539095555,1.009691435051529
2015-03-16,0.9491357185671845,1.0061931443616092
2015-03-17,0.9477710517314842,1.003465412721376
2015-03-18,0.9547797490735781,1.0096154897218712
2015-03-19,0.9547309740460524,1.0097088560938723
2015-03-20,0.9545836190044209,1.0138921445608016
2015-03-23,0.9564474805839838,1.0133334434934724
2015-03-24,0.9512200669780767,1.0080328965059062
2015-03-25,0.9495167425984681,1.0042352083169246
2015-03-26,0.949763807210627,1.0038348237769574
2015-03-27,0.9487720362374872,1.0043831722405887
2015-03-30,0.9472536934876901,1.0052157135771749
2015-03-31,0.9423217309512257,0.9987377146507052
2015-04-01,0.9430634178447612,0.9998979055376194
2015-04-02,0.9392707047087518,0.9964935090066577
2015-04-07,0.9413246117188119,1.002568376810488
2015-04-08,0.939704622580354,0.9996474059746155
2015-04-09,0.9434593197978894,1.0067480996299762
2015-04-10,0.939628442421056,1.0068697334886842
2015-04-13,0.9372490372020712,1.0055768262028024
2015-04-14,0.9386479944455495,1.0044938930761562
2015-04-15,0.9430061755878337,1.009819705392128
2015-04-16,0.9431228504352757,1.006110199590241
2015-04-17,0.9465920563057286,1.0019225549593191
2015-04-20,0.9456665270685984,1.0047553613858162
2015-04-21,0.9464939219232578,1.0076840278304264
2015-04-22,0.9383508002762316,1.0008634516200754
2015-04-23,0.939201509722929,1.0011309645564805
2015-04-24,0.9419802669199429,1.0040267714731081
2015-04-27,0.9492638568664992,1.0140832309667203
