strategy,gross_sharpe,sharpe_ratio,annualised_return,annualised_volatility,max_drawdown,annualised_turnover,cost_drag,average_gross_exposure,mean_n_factors,mean_explained_variance
fixed m = 4,0.9104723087316731,0.19711709500151153,0.007832681412783815,0.04462778826614961,-0.10436619843940598,63.709285496809144,0.03185464274840457,0.9817884556893031,4.0,0.5964411563223776
"variable, 40% variance",0.5777421570857092,0.15053156557048847,0.007127562108509844,0.05854497166540537,-0.16307986417510023,50.00224159217064,0.02500112079608532,0.935619732547897,1.4235193864507882,0.4962961171239374
"variable, 55% variance",0.8085539200192229,0.2373928755978714,0.011284230495684167,0.05321924784538524,-0.1254775265123914,60.75112648365429,0.030375563241827146,0.9701803824326825,3.473796335747763,0.5752774313054033
"variable, 65% variance",0.4958846361505744,-0.3423127266328553,-0.015859342959565925,0.04388878994562064,-0.2104779109071424,73.55310741117233,0.03677655370558617,1.0090761364450778,6.76011930123562,0.6611356562510529
"variable, 75% variance",0.695863665499656,-0.3669620758097605,-0.015910134632235007,0.04137468474986005,-0.17542803590527078,87.88431436768283,0.04394215718384142,1.074234520127594,12.008521516829996,0.7578813161037024
