,ABI.BR,AD.AS,ADSGn.DE,ADYEN.AS,AIR.PA,AIRP.PA,ALVG.DE,ASML.AS,AXAF.PA,BASFn.DE,BAYGn.DE,BBVA.MC,BMWG.DE,BNPP.PA,CRH.I,DANO.PA,DB1Gn.DE,DPWGn.DE,DTEGn.DE,ENEI.MI,ENI.MI,ESLX.PA,FLTRF.I,HRMS.PA,IBE.MC,IFXGn.DE,INGA.AS,ISP.MI,ITX.MC,LINI.DE,LVMH.PA,MBGn.DE,MUVGn.DE,NDAFI.HE,NOKIA.HE,OREP.PA,PERP.PA,PRTP.PA,PRX.AS,SAF.PA,SAN.MC,SAPG.DE,SASY.PA,SCHN.PA,SGEF.PA,SIEGn.DE,STLAM.MI,TTEF.PA,VNAn.DE,VOWG_p.DE
2013-12-24,-0.29848596644164,-0.9891522214910503,-1.086953066548344,,0.5396679703845364,0.5556497702571156,-0.4034156136428554,0.6716331937225579,0.5816314972845137,-1.0962424451413317,0.9705779987920699,0.7321510294800048,-0.6646943604653275,0.27622324018728045,-0.4540199838128346,0.2230902220562922,0.8880344786365029,0.9794878079104777,0.6135804535579047,-0.998558160298937,-0.4240452292239529,0.5382065779335934,0.6219597360700824,0.5631484171824915,-0.24106944185637283,0.9891620716857416,-0.08268787224851278,0.1506791296387483,0.8860982736997428,,-0.9121932689799691,-0.1733240410098973,-0.22618668196186067,-0.1332872533859809,-1.1431404337799216,0.30229771540691275,0.36103866033301596,-1.362977090405206,,0.5020939658334569,-0.4192839436347566,-0.583255814222384,-0.4991621141016227,1.118608993362734,-1.3604044895118907,0.44853012072431775,1.4071093950376257,0.006049306375699348,,-0.7678019398438066
2013-12-27,-0.2669890162260919,-0.767024544898209,-1.2844790075030965,,0.2514798452321398,0.4414813033585258,-0.3923713297263902,0.9991771839811611,0.23624456353957907,-1.146580741144748,0.656829821492995,0.7928084310942525,-1.405324313971611,0.4398714128134201,-0.2529276849830297,0.07807929320523814,0.8052245890146775,0.6322034330133631,0.7899477150333276,-0.6673527873032118,-0.28118320650895823,0.5922808315207276,0.8300570303485901,1.7525352551764515,-0.4171874821001587,0.886532392303304,0.18376431298184626,1.0754517849728134,0.6065327208528731,,-0.8946648493148797,-0.254482237935781,-0.17076381361880766,-0.060204307987934906,-1.12640247716399,0.06059389067406664,0.24595206422195154,-1.372317737920217,,0.3153830204736918,-0.4120977430006956,-0.7011777113772981,-0.595899736864907,0.6116956792070369,-1.165664519781672,0.1843555482581607,1.039194361919016,-0.14038103495338886,,-1.1728443046833188
2013-12-30,-0.3983217605884689,-0.9649808400476223,-0.9954540462584446,,0.014235482781542932,0.6183130930212108,-0.5559430985364047,1.0383528860270184,0.7183431612050891,-1.4343808610891906,-0.06983135066176198,0.8782502744227335,-0.9500993882415538,0.4659926802729544,-0.972120389555925,0.502508256460838,0.8015218998130234,0.5709860831573889,1.1093882475388885,-0.46130521816548375,-0.37604048435846615,0.6080519487872966,1.0541027431194494,1.755096181045482,-0.6621703009680749,0.8812423441405287,0.05766604553270851,0.9923545249580841,0.763149395606355,,-0.5160168609034913,0.3669612290745964,-0.29069668032734364,0.2653719654792159,-1.1894481127240684,0.00599438091415978,0.46278361969824533,-1.1827033107077918,,-0.08290803516432711,-0.11638774706467662,-0.6277944555827856,-0.570329945014318,0.3475475282994819,-0.8669458965515516,-0.6559529322595645,1.4094272082657577,-0.443436527573228,,-1.3290434043193504
2013-12-31,-0.2240448682447097,-0.8971839291204878,-1.0233079966557819,,0.1461019852024542,0.8874330017172481,-0.6826497992325079,1.2898966646070187,0.6543214969192401,-1.4357712426738398,-0.5815811432671627,,-0.9905482251967774,0.40069040599590466,-0.6178404830097131,0.45574687005871334,0.94699200043066,0.46774637762209487,1.4512668387427192,-0.524613115228389,-0.5080897225612322,0.5999872145943056,0.7466550828163349,1.7216329758059488,-0.9753707484558406,0.9058233450353543,0.138495288179451,0.7833501284145982,0.4963446078250501,,-0.3539871600074211,0.4667246131656719,-0.45382605017438965,-0.07980678411955967,-1.2597219644414617,0.14366683754384926,-0.185479998341199,-1.0983287778518749,,0.16540692539529253,0.29714691075227445,-0.9275790197732662,-0.23580644550778276,0.40626269780804125,-0.8929720579701614,-0.6296785747636212,1.6603899262527393,-0.041623052691521806,,-1.005344671693804
2014-01-02,-0.4294886351182698,-0.8377360552774843,-1.3820866671038787,,0.1380434530741866,0.9889011937145702,-0.574210002847757,1.4359524358628855,0.17571370482045762,-1.1309094785488072,-1.2037815405776953,0.34906063689182054,-1.5591020411987535,-0.1357814243833036,-0.18700741559683318,0.413854440831329,1.1905949092455155,0.9651863351694999,1.1201875811764288,-0.4081819686560856,-0.36310144347206197,0.7425438931852204,0.3451059242536296,1.6537307494027875,-1.2143486783134074,0.6448037533297838,-0.25492955947414764,0.9365171948815413,0.16942509219096946,,-0.6386040373020223,-0.2036404781793417,-0.5934796630110829,0.11369480059492865,-1.1961578447295265,0.3345932047002409,0.3958205161872825,-1.2105192795213173,,0.22310899380020718,-0.402740168742772,-1.0366340216624956,-0.2802382027394188,0.22532101535846974,-0.5827711960582932,-0.7466985981454627,1.548333116663909,0.5241473702902443,,-1.5916210727435895
2014-01-03,-0.4092702101343331,-0.8572611042908667,-1.5783127303098605,,-0.29053278460681475,0.9374145172218524,-0.7409745339030062,1.1750807286383762,0.1013879560870013,-1.1273172069133737,-1.3135553945175713,0.32635203168227594,-1.416743089537443,-0.2914483129760637,0.20285227689182417,0.002172997056697239,1.2849944933831408,0.9014552841813176,1.2338188579337923,-0.1531070772168088,-0.10226292771373206,0.9671578234200385,0.28115244193746913,1.9114755007761708,-1.1488275079981949,0.935034301720205,-0.4888148824149011,1.3520285067989424,0.19465787549596283,,-0.4747677681963857,0.13449707360316188,-1.355524278385012,0.15506440866981744,-1.4286117195778698,0.5301829072306974,0.39493736616689223,-1.3125432623159048,,0.8770012282677531,-0.42645951636388885,-1.162961769992096,-0.2964524791654755,0.28945261343946044,-0.34506957807350624,-0.5561541650047435,1.2795548395829666,0.9192466659113373,,-1.2711334324088146
2014-01-06,-1.2740313649729738,-0.5863028252296942,-1.0009834202747359,,-0.7314321872301133,0.11852007270937646,-0.531454809497441,0.7876011664586925,0.31345617421865957,-1.004732966090668,-1.4860839060558064,0.4691315202557863,-1.2134659737297093,0.2593435541201884,0.13647561770082872,-0.5626666007986103,1.2854040950764398,0.9243946640030933,0.9401769984196557,-0.41191614064465115,-0.08001080005563325,1.6922387900155234,0.014105635431918078,1.541381139106398,-0.8696540226509311,0.9705925285528716,-0.9471628907377516,1.1855364764551481,0.2646824561234721,,-0.31507966028451473,0.06154362715214738,-1.2781902648472958,0.02332787700821459,-1.454388781119134,0.7742237310961859,0.20306831706393094,-0.9450134738091017,,1.450178186429164,-0.2554586751355579,-0.8059442488176225,-0.3128817192904526,0.9131329226476557,-0.23280231803844645,-0.378613280657374,1.1716593360113448,0.4087357638387146,,-1.291627640809574
2014-01-07,-0.7734144211775638,-0.4373432141130698,-0.6004021615092132,,-0.8238983925131128,-0.4635594119755696,-0.5133237032889075,0.7541530869816437,0.6531702448835189,-0.21196847823975778,-1.122595253807359,1.2352300536491632,-1.5088870309832332,0.8274529247973671,0.2604274018962498,-0.13578983343024692,1.3377992541755526,0.3230442230566662,0.49513270679814514,-0.629742135495958,-0.5971543281969323,2.1012296465274503,0.14196706953095994,1.1470225389755904,-0.6461012879315483,1.0111650211223722,-0.20442612235476743,0.9447823304818656,-0.03492137905828125,,-0.29193279143253087,-0.22356740529203345,-1.4974037384126087,-0.10781072656659137,-1.6978040367631138,0.8328985005377344,-0.20432014031112117,-0.7452738107658037,,1.1724557437112266,0.3192843444128286,-0.961228151884545,-0.5433497323601326,0.24030511524851778,-0.2590490339080907,-0.26918486796763935,0.9225106807760933,0.050004236920881774,,-1.1546792377873838
2014-01-08,-0.44608419118956605,-0.5302155423639523,-0.49067598971096227,,-0.8249918443526044,0.20651686911949746,-1.005285343496985,0.8606936284330713,0.7877487604905877,-0.6302426238204613,-1.0992980348843386,1.2695224819767201,-0.7723923989038916,1.5179326156343758,0.3652275188062594,-0.7061782382129838,1.6218803114534184,0.2424781896959198,0.48876188846733787,-0.421765008395432,-1.2707970944803928,2.640295536139912,-0.20200809333130984,0.9379747247834225,-0.708706849046834,0.9939277295598363,0.21345658943414464,1.1900957550159394,-0.2837483136044485,,-0.4155392589547296,-0.5441916437435157,-1.7953373899866107,-0.016111328104816733,-1.5976348035644055,0.20023473100735376,0.3733222216482631,-0.9400079803720479,,1.029922441275821,0.18289892407632033,-0.45687591136327416,-0.7894662975818774,0.10850856151573307,0.13913178982988997,-0.5780679490001049,0.7948652940894513,-0.8151560598720231,,-1.046307313175121
2014-01-09,0.01235141739639136,-0.42393785513605087,-1.0389047361668517,,-1.059281909400665,0.7057354319686303,-1.0135234691663848,1.410992876924524,0.6341020228149361,-1.0593207234512487,-1.41121376050968,1.1158171113724151,-0.5768855845884207,0.827408063071596,1.245432135458135,-0.3783509774814132,1.5810886640499224,0.06733316983864068,0.8288740796959345,-0.7087074621304845,-1.3284984942820313,2.460499285287197,-0.40345150098814864,1.4876520570933656,-0.7745293033810515,0.5261453964107372,0.1265401932996354,0.7457128526806011,-0.4199497346400374,,-0.6309599270456476,-0.3185955221697614,-1.8931459161400337,0.2405881206779083,-1.0129267117287228,-0.05976240894561246,0.6466526167017862,-2.0288698962171323,,0.9765904603331089,0.12774734080921524,-0.7540642725847313,-0.900275940107844,0.2064158818534646,-0.35155642188330727,-0.7971381165769139,0.7599293655130651,-0.4944830601983887,,-1.215562459435445
2014-01-10,-0.4071107366213369,-0.21459625132778737,-0.42959127659662816,,-1.08408348667525,1.0271824299304333,-0.8164972520465182,0.9487498268386345,0.5365100940409983,-0.681262277288002,-1.084854322817668,1.0343421058733,-0.44774582391897483,0.5784482024128512,1.1732633989665655,-0.5218383140041458,1.9866544279463985,0.5637167360420966,0.7625051022905135,-0.5120612873936895,-0.9879968448166911,2.0653124545109582,-0.1304558651766129,0.8571599876501508,-0.36362039686040676,0.43271167411422495,0.155070723918124,-0.17831207579701264,-0.48828070047012634,,-0.42911703304698257,-0.24877386459072273,-2.2211697040531733,0.3362234481653753,-1.1699898679533167,0.11184813126037095,0.03921737556147529,-1.2514084684312707,,0.5388383074974994,0.6752224746473243,-1.4577564251651067,-1.3025021073324514,0.48430585202344784,-0.20093553280778534,-1.6655173026392467,0.5643804807999954,0.173429083960464,,-0.7951725677898838
2014-01-13,-0.7700446888126172,0.010005261552381649,-0.46884774507755894,,-0.8112371847572067,1.310971471367128,-0.8869259204357042,0.6129018704344854,0.48934403098080775,-0.36504551030673105,-0.35868861257306545,1.3038820337310346,-0.7706751914523418,0.14567149255389783,1.4176948542432337,-0.9671499905474568,2.3646432901210592,1.0538814541374475,0.555381662897261,-0.7090186761499864,-1.2062882562539545,1.8287365087795506,-0.09677668233734404,0.7971522838512297,0.08213231225119064,0.6266117594966241,0.47434840863117944,-0.21296295195293616,-0.7924218842449364,,-0.9221365527909242,-0.5809460730437913,-1.960136062142773,0.8444784835313313,-1.1983547833704966,0.008866467431293878,2.7248991036841357,-0.7950965773632465,,-0.056593233173728566,1.210493687051327,-1.4340870982750384,-1.5957565581576687,0.004667495381910954,-0.4043039061321285,-1.460381591765991,0.03696661695739245,-0.43925268180047394,,-0.6114768582666392
