strategy,total_return,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,hit_rate,skew,excess_kurtosis,n_days,daily_turnover,annualised_turnover,average_gross_exposure,average_net_exposure,average_positions,gross_sharpe,gross_annualised_return,cost_drag,average_signals
paper (hedged),0.0753373677192255,0.007832681412783815,0.04462778826614961,0.19711709500151153,0.3018610712857987,-0.10436619843940598,0.0750499829437727,0.4940323955669224,0.4159677355556599,4.872237816837602,2346.0,0.25281462498733787,63.709285496809144,0.9817884556893031,0.0007180482588283978,48.050298380221655,0.9104723087316731,0.04044970129323833,0.03185464274840457,16.61994034938219
unhedged,0.25043547296569413,0.02429728229920225,0.05506395714717843,0.46351175081663326,0.6802770900757568,-0.10568326925533766,0.2299066112394615,0.5140664961636828,0.12146041591003237,3.3981144905723775,2346.0,0.17764279624893436,44.76598465473146,0.8309676044330776,0.07661977834612106,16.61935208866155,0.8701885548724834,0.0474801955272397,0.022382992327365733,16.61994034938219
